86797312;86797343;5.44.108.0;5.44.108.31;-;
87963824;87963827;5.62.56.176;5.62.56.179;-;
87964316;87964319;5.62.58.156;5.62.58.159;-;
782673728;782673735;46.166.167.64;46.166.167.71;-;
782674464;782674471;46.166.170.32;46.166.170.39;-;
961232896;961236991;57.75.64.0;57.75.79.255;-;
2668106104;2668106111;159.8.17.120;159.8.17.127;-;
3112034587;3112034587;185.125.225.27;185.125.225.27;-;
